,Country,Capital,Latitude,Longitude
113,Malawi,Lilongwe,14¡00'S,33¡48'E
114,Malaysia,Kuala Lumpur,03¡09'N,101¡41'E
115,Maldives,Male,04¡00'N,73¡28'E
116,Mali,Bamako,12¡34'N,07¡55'W
117,Malta,Valletta,35¡54'N,14¡31'E
118,Martinique,Fort-de-France,14¡36'N,61¡02'W
119,Mauritania,Nouakchott,20¡10'S,57¡30'E
120,Mayotte,Mamoudzou,12¡48'S,45¡14'E
121,Mexico,Mexico,19¡20'N,99¡10'W
122,Micronesia (Federated States of),Palikir,06¡55'N,158¡09'E
123,"Moldova, Republic of",Chisinau,47¡02'N,28¡50'E
124,Mozambique,Maputo,25¡58'S,32¡32'E
125,Myanmar,Yangon,16¡45'N,96¡20'E
126,Namibia,Windhoek,22¡35'S,17¡04'E
127,Nepal,Kathmandu,27¡45'N,85¡20'E
128,Netherlands,Amsterdam/The Hague (seat of Gvnt),52¡23'N,04¡54'E
129,Netherlands Antilles,Willemstad,12¡05'N,69¡00'W
130,New Caledonia,Noumea,22¡17'S,166¡30'E
131,New Zealand,Wellington,41¡19'S,174¡46'E
132,Nicaragua,Managua,12¡06'N,86¡20'W
133,Niger,Niamey,13¡27'N,02¡06'E
134,Nigeria,Abuja,09¡05'N,07¡32'E
135,Norfolk Island,Kingston,45¡20'S,168¡43'E
136,Northern Mariana Islands,Saipan,15¡12'N,145¡45'E
137,Norway,Oslo,59¡55'N,10¡45'E
138,Oman,Masqat,23¡37'N,58¡36'E
139,Pakistan,Islamabad,33¡40'N,73¡10'E
140,Palau,Koror,07¡20'N,134¡28'E
141,Panama,Panama,09¡00'N,79¡25'W
142,Papua New Guinea,Port Moresby,09¡24'S,147¡08'E
143,Paraguay,Asuncion,25¡10'S,57¡30'W
144,Peru,Lima,12¡00'S,77¡00'W
145,Philippines,Manila,14¡40'N,121¡03'E
146,Poland,Warsaw,52¡13'N,21¡00'E
147,Portugal,Lisbon,38¡42'N,09¡10'W
148,Puerto Rico,San Juan,18¡28'N,66¡07'W
149,Qatar,Doha,25¡15'N,51¡35'E
150,Republic of Korea,Seoul,37¡31'N,126¡58'E
151,Romania,Bucuresti,44¡27'N,26¡10'E
152,Russian Federation,Moskva,55¡45'N,37¡35'E
153,Rawanda,Kigali,01¡59'S,30¡04'E
154,Saint Kitts and Nevis,Basseterre,17¡17'N,62¡43'W
155,Saint Lucia,Castries,14¡02'N,60¡58'W
156,Saint Pierre and Miquelon,Saint-Pierre,46¡46'N,56¡12'W
157,Saint vincent and the Grenadines,Kingstown,13¡10'N,61¡10'W
158,Samoa,Apia,13¡50'S,171¡50'W
159,San Marino,San Marino,43¡55'N,12¡30'E
